date,region,product,units,unit_price,revenue,discount_pct
2026-01-03,North,Alpha,12,49.99,599.88,0
2026-01-07,South,Beta,8,79.50,604.20,5
2026-01-15,East,Alpha,15,49.99,712.36,5
2026-02-02,West,Gamma,4,120.00,432.00,10
2026-02-11,North,Beta,10,79.50,795.00,0
2026-02-18,South,Gamma,6,120.00,684.00,5
2026-03-01,East,Beta,11,79.50,830.78,5
2026-03-09,West,Alpha,20,49.99,899.82,10
2026-03-19,North,Gamma,5,120.00,570.00,5
2026-04-04,South,Alpha,18,49.99,899.82,0
2026-04-12,East,Gamma,7,120.00,756.00,10
2026-04-25,West,Beta,9,79.50,715.50,0
